id,didok,bpuic,name,short_name
id_8595245,95245,8595245,Areuse Littorail,ALIT
id_8503099,3099,8503099,Sihlau,SIA
id_8501459,1459,8501459,St-Triphon-Village,STVI
id_8588193,88193,8588193,Gryon Bois-Gentil,GRBG
id_8501260,1260,8501260,Gilamont,GIL
id_8530430,30430,8530430,Route de Morgins,RTEM
id_8504294,4294,8504294,Vuiteboeuf,VUIB
id_8502031,2031,8502031,Hallwil,HD
id_8507094,7094,8507094,Uetendorf Allmend,UEA
id_8504483,4483,8504483,Ins,INS
id_8501098,1098,8501098,Montricher,MORI
id_8504130,4130,8504130,Yvonand,YND
id_8502162,2162,8502162,Unterkulm,UKU
id_8517484,17484,8517484,Aigle-Parc Aventure,AGHO
id_8500305,305,8500305,Frick,FCK
id_8502199,2199,8502199,Schöftland,SCHF
id_8506359,6359,8506359,St. Gallen Schülerhaus,SHS
id_8506372,6372,8506372,Lustmühle,LUMU
id_8506128,6128,8506128,Kreuzlingen Hafen,KRH
id_8501081,1081,8501081,Chigny,CHGN
id_8501303,1303,8501303,Villeneuve VD,VIL
id_8504291,4291,8504291,La Brinaz,BRIN
id_8508314,8314,8508314,Sarnen,SAR
id_8530262,30262,8530262,St-Eloi,STEL
id_8501476,1476,8501476,Les Aviolats,AVIO
id_8501153,1153,8501153,Le Lieu,LIEU
id_8503106,3106,8503106,Männedorf,MAEN
id_8503078,3078,8503078,Waldburg,WALG
id_8503090,3090,8503090,Zürich Selnau,ZSEL
id_8503088,3088,8503088,Zürich HB SZU,ZUSZ
id_8506393,6393,8506393,Wittenbach,WIT
id_8503111,3111,8503111,Winkel am Zürichsee,WIN
id_8502209,2209,8502209,Oberrieden Dorf,ORDD
id_8500179,179,8500179,La Cibourg,CIB
id_8503010,3010,8503010,Zürich Enge,ZEN
id_8503147,3147,8503147,Stettbach,STET
id_8503302,3302,8503302,Fehraltorf,FET
id_8503294,3294,8503294,Riedmatt SZ,RDM
id_8593467,93467,8593467,Pont de Fayot,POFA
id_8503139,3139,8503139,Tann-Dürnten,TD
id_8502270,2270,8502270,Bergfrieden,BEFR
id_8503316,3316,8503316,Steinmaur,STMR
id_8509257,9257,8509257,Madulain,MADU
id_8501127,1127,8501127,St-Saphorin,STSA
id_8504123,4123,8504123,Corcelles-Nord,CN
id_8501037,1037,8501037,Morges,MOR
id_8501156,1156,8501156,Le Solliat-La Golisse,SGO
id_8501510,1510,8501510,Châteauneuf-Conthey,CHF
id_8509367,9367,8509367,Campascio,CAIO
id_8509259,9259,8509259,S-chanf,SCAN
id_8519370,19370,8519370,Bernina Diavolezza,BEDI
id_8502476,2476,8502476,Vevey Vignerons,VVVI
id_8501388,1388,8501388,Les Combes,COMS
id_8501684,1684,8501684,Kalpetran,KALP
id_8593775,93775,8593775,Les Nicolets,LENI
id_8593774,93774,8593774,La Faverge,LAFA
id_8505180,5180,8505180,Acla da Fontauna,ACLA
id_8530246,30246,8530246,Foyer Dents-du-Midi,FYDM
id_8501674,1674,8501674,Grengiols,GREN
id_8504012,4012,8504012,Puidoux,PUI
id_8508297,8297,8508297,Menznau,MAU
id_8500213,213,8500213,Oberbuchsiten,OB
id_8500214,214,8500214,Egerkingen,EG
id_8508004,8004,8508004,Lyssach,LYS
id_8502211,2211,8502211,Hendschiken,HDK
id_8507091,7091,8507091,Liebefeld,LBF
id_8507065,7065,8507065,Boll-Utzigen,BOUT
id_8504404,4404,8504404,Aarberg,ABE
id_8510616,10616,8510616,"Liestal, Gräubern",
